,ell,Cl
2325,2325,2.102064131376352e-09
2326,2326,2.1870456415498385e-09
2327,2327,2.224595321457433e-09
2328,2328,2.1395385401010347e-09
2329,2329,2.2241229919257628e-09
2330,2330,2.286244395294088e-09
2331,2331,2.0635720389492793e-09
2332,2332,2.1426828892416674e-09
2333,2333,2.007378725798745e-09
2334,2334,2.1285293638428093e-09
2335,2335,2.1831472277527357e-09
2336,2336,2.1690115084007187e-09
2337,2337,2.1912665663287233e-09
2338,2338,2.1790213501435773e-09
2339,2339,2.183881933061198e-09
2340,2340,2.1555362697949344e-09
2341,2341,2.213498427392902e-09
2342,2342,2.299506142691698e-09
2343,2343,2.13579155712556e-09
2344,2344,2.189839609248597e-09
2345,2345,2.069001655301185e-09
2346,2346,2.0056280499908994e-09
2347,2347,2.117859057445136e-09
2348,2348,2.2172778187446804e-09
2349,2349,2.133931641278667e-09
2350,2350,2.1783791626475397e-09
2351,2351,2.153614514028956e-09
2352,2352,2.182291307892105e-09
2353,2353,2.0201127114309243e-09
2354,2354,2.10462858599248e-09
2355,2355,2.071404678762181e-09
2356,2356,1.960592991497406e-09
2357,2357,2.1866532697538637e-09
2358,2358,2.1596088891120046e-09
2359,2359,2.095821638479761e-09
2360,2360,2.263370878201601e-09
2361,2361,2.1938608573144417e-09
2362,2362,2.3197988128383847e-09
2363,2363,1.96250172505899e-09
2364,2364,2.1575210172795876e-09
2365,2365,2.1062437776534406e-09
2366,2366,2.1073941583795333e-09
2367,2367,2.0579735657814215e-09
2368,2368,2.171235335086206e-09
2369,2369,1.9393674167461124e-09
2370,2370,2.088618909186218e-09
2371,2371,2.1540102192010997e-09
2372,2372,2.270018187199024e-09
2373,2373,2.01847329235817e-09
2374,2374,2.0882897765608455e-09
2375,2375,2.0096206137387165e-09
2376,2376,2.0688686123170614e-09
2377,2377,2.0828555862309267e-09
2378,2378,2.2731378417634798e-09
2379,2379,2.1170620878983993e-09
2380,2380,2.128560275803715e-09
2381,2381,1.948372918221654e-09
2382,2382,2.2046759560030265e-09
2383,2383,2.282980976832184e-09
2384,2384,2.2106839791473244e-09
2385,2385,1.9752378781539434e-09
2386,2386,2.059076442541663e-09
2387,2387,1.888644488082424e-09
2388,2388,2.0406577438253027e-09
2389,2389,1.9891319766030545e-09
2390,2390,2.1092672806350774e-09
2391,2391,1.8353720395707613e-09
2392,2392,2.024310324205238e-09
2393,2393,1.874800234097086e-09
2394,2394,2.103184611507801e-09
2395,2395,1.954653475354155e-09
2396,2396,2.0349050289479697e-09
2397,2397,1.9999136405809774e-09
2398,2398,1.962256186910286e-09
2399,2399,1.956129358199129e-09
2400,2400,2.2520572487110567e-09
2401,2401,2.0854373010805805e-09
2402,2402,2.0613829932636234e-09
2403,2403,1.8540884825729869e-09
2404,2404,2.184214597027328e-09
2405,2405,2.0566200651746725e-09
2406,2406,2.112066881692533e-09
2407,2407,1.9983505549700647e-09
2408,2408,1.901467493818542e-09
2409,2409,1.9629202180279466e-09
2410,2410,2.024672024503919e-09
2411,2411,1.843118390474164e-09
2412,2412,2.012309238893211e-09
2413,2413,2.2599352059755115e-09
2414,2414,1.9648754663468733e-09
2415,2415,1.8819399712469023e-09
2416,2416,2.0818287908491843e-09
2417,2417,2.0524634334189413e-09
2418,2418,1.9334555767767214e-09
2419,2419,1.7723979517369918e-09
2420,2420,2.0448108473820217e-09
2421,2421,1.9406117297141963e-09
2422,2422,1.9590633946988128e-09
2423,2423,1.9699061106169354e-09
2424,2424,2.156501441612269e-09
2425,2425,1.9360582876987534e-09
2426,2426,2.13401782709192e-09
2427,2427,1.9363101259518454e-09
2428,2428,2.0013817542333943e-09
2429,2429,2.2110618429456505e-09
2430,2430,2.063393945227446e-09
2431,2431,1.9317603156083444e-09
