ell,kap_cl
2351,2.612355178988892e-09
2352,2.5567700953072366e-09
2353,2.536740609065707e-09
2354,2.600363136325341e-09
2355,2.5910949800616285e-09
2356,2.59197377881789e-09
2357,2.519065375615858e-09
2358,2.5855260510695274e-09
2359,2.513583674862231e-09
2360,2.5383976899055154e-09
2361,2.440497510193895e-09
2362,2.5705226281262236e-09
2363,2.525351526361325e-09
2364,2.537303120489622e-09
2365,2.621563031907805e-09
2366,2.5731285801029357e-09
2367,2.6142150381269388e-09
2368,2.5961385759546045e-09
2369,2.610913322658768e-09
2370,2.529443933936824e-09
2371,2.6061480457128403e-09
2372,2.509471348401355e-09
2373,2.5384020688474907e-09
2374,2.5707348601199367e-09
2375,2.522965204097948e-09
2376,2.4656384411352535e-09
2377,2.5744761096054127e-09
2378,2.513341410272613e-09
2379,2.6171231931572228e-09
2380,2.5485967779608594e-09
2381,2.5208461164356603e-09
2382,2.635651374046019e-09
2383,2.5377527095280287e-09
2384,2.445069609087262e-09
2385,2.46567853980395e-09
2386,2.5081885981623514e-09
2387,2.5857310654000142e-09
2388,2.4143384191782727e-09
2389,2.4992695197165175e-09
2390,2.5796801490393926e-09
2391,2.5020102604498114e-09
2392,2.5257750843214293e-09
2393,2.482303186647057e-09
2394,2.536363317851525e-09
2395,2.49147194825493e-09
2396,2.5389691679236156e-09
2397,2.5067234131895943e-09
2398,2.417205132402342e-09
2399,2.4710766403657615e-09
2400,2.461826142894591e-09
2401,2.560223991383491e-09
2402,2.4735042835990176e-09
2403,2.510194444198527e-09
2404,2.4809533923644087e-09
2405,2.3585722557308938e-09
2406,2.5320985200530574e-09
2407,2.489438649585701e-09
2408,2.4410070033485325e-09
2409,2.531929019560046e-09
2410,2.562717500635648e-09
2411,2.4928467411581597e-09
2412,2.534465744864347e-09
2413,2.45164232932315e-09
2414,2.3696931371606445e-09
2415,2.4478660773840765e-09
2416,2.4767467334458866e-09
2417,2.528092488483969e-09
2418,2.5028352302886265e-09
2419,2.4083991160150225e-09
2420,2.4791166633261975e-09
2421,2.43094170217758e-09
2422,2.4521299583557044e-09
2423,2.4356812673788364e-09
2424,2.3739047764819066e-09
2425,2.506834672997202e-09
2426,2.3809102536553313e-09
2427,2.5104854519496096e-09
2428,2.4943386768998737e-09
2429,2.3803447036289728e-09
2430,2.5891213687652108e-09
2431,2.475714896199667e-09
2432,2.4497745378422624e-09
2433,2.3915168247524396e-09
2434,2.5157122606204826e-09
2435,2.460277871001662e-09
2436,2.5099779264554336e-09
2437,2.4479074666178448e-09
2438,2.4177847040733642e-09
2439,2.344774391707879e-09
2440,2.4457290862255148e-09
2441,2.43774555691711e-09
2442,2.4771639761195354e-09
2443,2.3435432142540737e-09
2444,2.469436580765373e-09
2445,2.4788704652334126e-09
2446,2.350717581673685e-09
2447,2.3585339895065097e-09
2448,2.46814514102036e-09
2449,2.401304673264342e-09
2450,2.37325289847544e-09
2451,2.400186814765509e-09
2452,2.3811598005264575e-09
2453,2.4265741174968745e-09
2454,2.4506339044454864e-09
2455,2.3733679278768736e-09
2456,2.4813806398733648e-09
2457,2.3932344863102153e-09
2458,2.3196906012280047e-09
2459,2.412444687070369e-09
2460,2.4029308460982453e-09
2461,2.341465228292509e-09
2462,2.4689022349184604e-09
2463,2.427784447958243e-09
2464,2.3820729170891915e-09
2465,2.4141093523211208e-09
2466,2.371613974231705e-09
2467,2.4480045632705744e-09
2468,2.4141968876251336e-09
2469,2.377889971946533e-09
2470,2.3223597813544827e-09
2471,2.449718763506654e-09
2472,2.4027437018951103e-09
2473,2.3528810729788683e-09
2474,2.3778367012254965e-09
2475,2.3386331041658433e-09
2476,2.4235376835946065e-09
2477,2.422836968117946e-09
2478,2.4210654400187635e-09
2479,2.345852474850587e-09
2480,2.3590526054793027e-09
2481,2.389385421589573e-09
2482,2.331121825309221e-09
2483,2.384636106305558e-09
2484,2.2894581607496276e-09
2485,2.41819500272414e-09
2486,2.376986250182342e-09
2487,2.393258801862252e-09
2488,2.284994014664846e-09
2489,2.340468459966969e-09
2490,2.2510236207394655e-09
2491,2.3894181273972038e-09
2492,2.464983569329142e-09
2493,2.3522074232146536e-09
2494,2.4130975655045604e-09
2495,2.300706974888818e-09
2496,2.363560626576565e-09
2497,2.323751837516572e-09
2498,2.288651587153901e-09
2499,2.3033232975717365e-09
2500,2.289498613899101e-09
2501,2.4282788595572686e-09
2502,2.2628019287792425e-09
2503,2.2340045039009198e-09
2504,2.313023054911318e-09
2505,2.2547410075694275e-09
2506,2.301800645395568e-09
2507,2.297795574999274e-09
2508,2.330301365244324e-09
2509,2.2568481088190584e-09
2510,2.25097223087947e-09
2511,2.2859503984098624e-09
2512,2.3124900869704154e-09
2513,2.2896920150050145e-09
2514,2.313548720339814e-09
2515,2.312833392171123e-09
2516,2.2295993263585333e-09
2517,2.33672463614726e-09
2518,2.3695726111272395e-09
2519,2.301711663506894e-09
2520,2.285767500267086e-09
2521,2.3241897778002106e-09
2522,2.2924634310557293e-09
